q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.476401225,1.14346095,0,35.40844091,13.56058615,0,1,1,safe,
-0.476401225,1.14346095,0.0436332313,35.40844091,13.56058615,5,1,1,safe,
-0.476401225,1.14346095,0.0872664626,35.40844091,13.56058615,10,1,1,safe,
-0.476401225,1.14346095,0.1308996939,35.40844091,13.56058615,15,1,1,safe,
-0.476401225,1.14346095,0.1745329252,35.40844091,13.56058615,20,1,1,safe,
-0.476401225,1.14346095,0.2181661565,35.40844091,13.56058615,25,1,1,safe,
-0.476401225,1.14346095,0.2617993878,35.40844091,13.56058615,30,1,1,safe,
-0.476401225,1.14346095,0.3054326191,35.40844091,13.56058615,35,1,1,safe,
-0.476401225,1.14346095,0.3490658504,35.40844091,13.56058615,40,1,1,safe,
-0.476401225,1.14346095,0.3926990817,35.40844091,13.56058615,45,1,1,safe,
-0.476401225,1.178367535,0,35.40844091,9.560586153,0,1,1,safe,
-0.476401225,1.178367535,0.0436332313,35.40844091,9.560586153,5,1,1,safe,
-0.476401225,1.178367535,0.0872664626,35.40844091,9.560586153,10,1,1,safe,
-0.44149464,1.00383461,0,39.4084409,25.56058613,0,1,1,safe,
-0.44149464,1.00383461,0.0436332313,39.4084409,25.56058613,5,1,1,safe,
-0.44149464,1.00383461,0.0872664626,39.4084409,25.56058613,10,1,1,safe,
-0.44149464,1.00383461,0.1308996939,39.4084409,25.56058613,15,1,1,safe,
-0.44149464,1.00383461,0.1745329252,39.4084409,25.56058613,20,1,1,safe,
-0.44149464,1.00383461,0.2181661565,39.4084409,25.56058613,25,1,1,safe,
-0.44149464,1.00383461,0.2617993878,39.4084409,25.56058613,30,1,1,safe,
-0.44149464,1.00383461,0.3054326191,39.4084409,25.56058613,35,1,1,safe,
-0.44149464,1.00383461,0.3490658504,39.4084409,25.56058613,40,1,1,safe,
-0.44149464,1.00383461,0.3926990817,39.4084409,25.56058613,45,1,1,safe,
-0.44149464,1.00383461,0.436332313,39.4084409,25.56058613,50,1,1,safe,
-0.44149464,1.00383461,0.4799655443,39.4084409,25.56058613,55,1,1,safe,
-0.44149464,1.00383461,0.5235987756,39.4084409,25.56058613,60,1,1,safe,
-0.44149464,1.00383461,0.5672320069,39.4084409,25.56058613,65,1,1,safe,
-0.44149464,1.00383461,0.6108652382,39.4084409,25.56058613,70,1,1,safe,
-0.44149464,1.00383461,0.6544984695,39.4084409,25.56058613,75,1,1,safe,
-0.44149464,1.00383461,0.6981317008,39.4084409,25.56058613,80,1,1,safe,
-0.44149464,1.00383461,0.7417649321,39.4084409,25.56058613,85,1,1,safe,
-0.44149464,1.00383461,0.7853981634,39.4084409,25.56058613,90,1,1,safe,
-0.44149464,1.00383461,0.8290313947,39.4084409,25.56058613,95,1,1,safe,
-0.44149464,1.00383461,0.872664626,39.4084409,25.56058613,100,1,1,safe,
-0.44149464,1.00383461,0.9162978573,39.4084409,25.56058613,105,1,1,safe,
-0.44149464,1.00383461,0.9599310886,39.4084409,25.56058613,110,1,1,safe,
-0.44149464,1.00383461,1.00356432,39.4084409,25.56058613,115,1,1,safe,
-0.44149464,1.00383461,1.047197551,39.4084409,25.56058613,120,1,1,safe,
-0.44149464,1.00383461,1.090830782,39.4084409,25.56058613,125,1,1,safe,
