q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-1,-1.3,0,-24.59155903,353.5605858,0,0,0,rear_lift_angle_limit,
-1,-1.3,0.0436332313,-24.59155903,353.5605858,5,0,0,rear_lift_angle_limit,
-1,-1.3,0.0872664626,-24.59155903,353.5605858,10,0,0,rear_lift_angle_limit,
-1,-1.3,0.1308996939,-24.59155903,353.5605858,15,0,0,rear_lift_angle_limit,
-1,-1.3,0.1745329252,-24.59155903,353.5605858,20,0,0,rear_lift_angle_limit,
-1,-1.3,0.2181661565,-24.59155903,353.5605858,25,0,0,rear_lift_angle_limit,
-1,-1.3,0.2617993878,-24.59155903,353.5605858,30,0,0,rear_lift_angle_limit,
-1,-1.3,0.3054326191,-24.59155903,353.5605858,35,0,0,rear_lift_angle_limit,
-1,-1.3,0.3490658504,-24.59155903,353.5605858,40,0,0,rear_lift_angle_limit,
-1,-1.3,0.3926990817,-24.59155903,353.5605858,45,0,0,rear_lift_angle_limit,
-1,-1.3,0.436332313,-24.59155903,353.5605858,50,0,0,rear_lift_angle_limit,
-1,-1.3,0.4799655443,-24.59155903,353.5605858,55,0,0,rear_lift_angle_limit,
-1,-1.3,0.5235987756,-24.59155903,353.5605858,60,0,0,rear_lift_angle_limit,
-1,-1.3,0.5672320069,-24.59155903,353.5605858,65,0,0,rear_lift_angle_limit,
-1,-1.3,0.6108652382,-24.59155903,353.5605858,70,0,0,rear_lift_angle_limit,
-1,-1.3,0.6544984695,-24.59155903,353.5605858,75,0,0,rear_lift_angle_limit,
-1,-1.3,0.6981317008,-24.59155903,353.5605858,80,0,0,rear_lift_angle_limit,
-1,-1.3,0.7417649321,-24.59155903,353.5605858,85,0,0,rear_lift_angle_limit,
-1,-1.3,0.7853981634,-24.59155903,353.5605858,90,0,0,rear_lift_angle_limit,
-1,-1.3,0.8290313947,-24.59155903,353.5605858,95,0,0,rear_lift_angle_limit,
-1,-1.3,0.872664626,-24.59155903,353.5605858,100,0,0,rear_lift_angle_limit,
-1,-1.3,0.9162978573,-24.59155903,353.5605858,105,0,0,rear_lift_angle_limit,
-1,-1.3,0.9599310886,-24.59155903,353.5605858,110,0,0,rear_lift_angle_limit,
-1,-1.3,1.00356432,-24.59155903,353.5605858,115,0,0,rear_lift_angle_limit,
-1,-1.3,1.047197551,-24.59155903,353.5605858,120,0,0,rear_lift_angle_limit,
-1,-1.3,1.090830782,-24.59155903,353.5605858,125,0,0,rear_lift_angle_limit,
-1,-1.3,1.134464014,-24.59155903,353.5605858,130,0,0,rear_lift_angle_limit,
-1,-1.3,1.178097245,-24.59155903,353.5605858,135,0,0,rear_lift_angle_limit,
-1,-1.3,1.221730476,-24.59155903,353.5605858,140,0,0,rear_lift_angle_limit,
-1,-1.3,1.265363708,-24.59155903,353.5605858,145,0,0,rear_lift_angle_limit,
-1,-1.3,1.308996939,-24.59155903,353.5605858,150,0,0,rear_lift_angle_limit,
-1,-1.3,1.35263017,-24.59155903,353.5605858,155,0,0,rear_lift_angle_limit,
-1,-1.3,1.396263402,-24.59155903,353.5605858,160,0,0,rear_lift_angle_limit,
-1,-1.3,1.439896633,-24.59155903,353.5605858,165,0,0,rear_lift_angle_limit,
-1,-1.3,1.483529864,-24.59155903,353.5605858,170,0,0,rear_lift_angle_limit,
-1,-1.3,1.527163096,-24.59155903,353.5605858,175,0,0,rear_lift_angle_limit,
-1,-1.3,1.570796327,-24.59155903,353.5605858,180,0,0,rear_lift_angle_limit,
