q1_rad,q2_rad,q3_rad,lift_servo_deg,tilt_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.6509341496,0.008996939,-0.1155359862,164.591559,16.43941424,148.3802752,1,1,safe,
-0.6509341496,0.008996939,-0.0282695236,164.591559,16.43941424,158.3802752,1,1,safe,
-0.6509341496,0.008996939,0,164.591559,16.43941424,161.619724,1,1,safe,
-0.6509341496,0.0962634016,-1.25,164.591559,26.43941424,18.38027522,1,1,safe,
-0.6509341496,0.0962634016,-1.162733537,164.591559,26.43941424,28.38027522,1,1,safe,
-0.6509341496,0.0962634016,-1.075467075,164.591559,26.43941424,38.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.9882006122,164.591559,26.43941424,48.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.9009341496,164.591559,26.43941424,58.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.813667687,164.591559,26.43941424,68.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.7264012244,164.591559,26.43941424,78.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.6391347618,164.591559,26.43941424,88.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.5518682992,164.591559,26.43941424,98.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.4646018366,164.591559,26.43941424,108.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.377335374,164.591559,26.43941424,118.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.2900689114,164.591559,26.43941424,128.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.2028024488,164.591559,26.43941424,138.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.1155359862,164.591559,26.43941424,148.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.0282695236,164.591559,26.43941424,158.3802752,1,1,safe,
-0.6509341496,0.0962634016,0,164.591559,26.43941424,161.619724,1,1,safe,
-0.6509341496,0.1835298642,-1.25,164.591559,36.43941424,18.38027522,1,1,safe,
-0.6509341496,0.1835298642,-1.162733537,164.591559,36.43941424,28.38027522,1,1,safe,
-0.6509341496,0.1835298642,-1.075467075,164.591559,36.43941424,38.38027522,1,1,safe,
-0.6509341496,0.1835298642,-0.9882006122,164.591559,36.43941424,48.38027522,1,1,safe,
-0.6509341496,0.1835298642,-0.9009341496,164.591559,36.43941424,58.38027522,1,1,safe,
-0.6509341496,0.1835298642,-0.813667687,164.591559,36.43941424,68.38027522,1,1,safe,
