q1_rad,q3_rad,segment,q2_min_rad,q2_max_rad,sample_count
-0.685840735,-0.9445673809,0,0.061356815,1.3,37
-0.685840735,-0.9009341496,0,0.02645023,1.3,38
-0.685840735,-0.8573009183,0,0.02645023,1.3,38
-0.685840735,-0.813667687,0,0.02645023,1.3,38
-0.685840735,-0.7700344557,0,0.02645023,1.3,38
-0.685840735,-0.7264012244,0,0.02645023,1.3,38
-0.685840735,-0.6827679931,0,-0.008456355,1.3,39
-0.685840735,-0.6391347618,0,-0.008456355,1.3,39
-0.685840735,-0.5955015305,0,-0.008456355,1.3,39
-0.685840735,-0.5518682992,0,-0.008456355,1.3,39
-0.685840735,-0.5082350679,0,-0.008456355,1.3,39
-0.685840735,-0.4646018366,0,-0.008456355,1.3,39
-0.685840735,-0.4209686053,0,-0.008456355,1.3,39
-0.685840735,-0.377335374,0,-0.008456355,1.3,39
-0.685840735,-0.3337021427,0,-0.008456355,1.3,39
-0.685840735,-0.2900689114,0,-0.008456355,1.3,39
-0.685840735,-0.2464356801,0,-0.008456355,1.3,39
-0.685840735,-0.2028024488,0,-0.008456355,1.3,39
-0.685840735,-0.1591692175,0,-0.008456355,1.3,39
-0.685840735,-0.1155359862,0,-0.008456355,1.3,39
-0.685840735,-0.0719027549,0,-0.008456355,1.3,39
-0.685840735,-0.0282695236,0,-0.008456355,1.3,39
-0.685840735,0,0,-0.008456355,1.3,39
-0.65093415,-0.9445673809,0,-0.008456355,1.3,39
-0.65093415,-0.9009341496,0,-0.008456355,1.3,39
-0.65093415,-0.8573009183,0,-0.008456355,1.3,39
-0.65093415,-0.813667687,0,-0.008456355,1.3,39
-0.65093415,-0.7700344557,0,-0.008456355,1.3,39
-0.65093415,-0.7264012244,0,-0.04336294,1.3,40
-0.65093415,-0.6827679931,0,-0.04336294,1.3,40
-0.65093415,-0.6391347618,0,-0.04336294,1.3,40
-0.65093415,-0.5955015305,0,-0.04336294,1.3,40
-0.65093415,-0.5518682992,0,-0.04336294,1.3,40
-0.65093415,-0.5082350679,0,-0.04336294,1.3,40
-0.65093415,-0.4646018366,0,-0.04336294,1.3,40
-0.65093415,-0.4209686053,0,-0.04336294,1.3,40
-0.65093415,-0.377335374,0,-0.04336294,1.3,40
-0.65093415,-0.3337021427,0,-0.04336294,1.3,40
-0.65093415,-0.2900689114,0,-0.04336294,1.3,40
-0.65093415,-0.2464356801,0,-0.04336294,1.3,40
-0.65093415,-0.2028024488,0,-0.04336294,1.3,40
-0.65093415,-0.1591692175,0,-0.04336294,1.3,40
-0.65093415,-0.1155359862,0,-0.04336294,1.3,40
-0.65093415,-0.0719027549,0,-0.04336294,1.3,40
-0.65093415,-0.0282695236,0,-0.04336294,1.3,40
-0.65093415,0,0,-0.04336294,1.3,40
-0.616027565,-0.9445673809,0,-0.04336294,1.3,40
-0.616027565,-0.9009341496,0,-0.04336294,1.3,40
-0.616027565,-0.8573009183,0,-0.04336294,1.3,40
-0.616027565,-0.813667687,0,-0.078269525,1.3,41
-0.616027565,-0.7700344557,0,-0.078269525,1.3,41
-0.616027565,-0.7264012244,0,-0.078269525,1.3,41
-0.616027565,-0.6827679931,0,-0.078269525,1.3,41
-0.616027565,-0.6391347618,0,-0.078269525,1.3,41
-0.616027565,-0.5955015305,0,-0.078269525,1.3,41
-0.616027565,-0.5518682992,0,-0.078269525,1.3,41
-0.616027565,-0.5082350679,0,-0.078269525,1.3,41
-0.616027565,-0.4646018366,0,-0.078269525,1.3,41
-0.616027565,-0.4209686053,0,-0.078269525,1.3,41
-0.616027565,-0.377335374,0,-0.078269525,1.3,41
-0.616027565,-0.3337021427,0,-0.078269525,1.3,41
-0.616027565,-0.2900689114,0,-0.078269525,1.3,41
-0.616027565,-0.2464356801,0,-0.078269525,1.3,41
-0.616027565,-0.2028024488,0,-0.078269525,1.3,41
-0.616027565,-0.1591692175,0,-0.078269525,1.3,41
-0.616027565,-0.1155359862,0,-0.078269525,1.3,41
-0.616027565,-0.0719027549,0,-0.078269525,1.3,41
-0.616027565,-0.0282695236,0,-0.078269525,1.3,41
-0.616027565,0,0,-0.078269525,1.3,41
-0.58112098,-0.9445673809,0,-0.11317611,1.248180705,40
-0.58112098,-0.9009341496,0,-0.11317611,1.248180705,40
-0.58112098,-0.8573009183,0,-0.11317611,1.248180705,40
-0.58112098,-0.813667687,0,-0.11317611,1.248180705,40
-0.58112098,-0.7700344557,0,-0.11317611,1.248180705,40
-0.58112098,-0.7264012244,0,-0.11317611,1.248180705,40
-0.58112098,-0.6827679931,0,-0.11317611,1.248180705,40
-0.58112098,-0.6391347618,0,-0.11317611,1.248180705,40
-0.58112098,-0.5955015305,0,-0.11317611,1.248180705,40
-0.58112098,-0.5518682992,0,-0.11317611,1.248180705,40
-0.58112098,-0.5082350679,0,-0.11317611,1.248180705,40
-0.58112098,-0.4646018366,0,-0.11317611,1.248180705,40
-0.58112098,-0.4209686053,0,-0.11317611,1.248180705,40
-0.58112098,-0.377335374,0,-0.11317611,1.248180705,40
-0.58112098,-0.3337021427,0,-0.11317611,1.248180705,40
-0.58112098,-0.2900689114,0,-0.11317611,1.248180705,40
-0.58112098,-0.2464356801,0,-0.11317611,1.248180705,40
-0.58112098,-0.2028024488,0,-0.11317611,1.248180705,40
-0.58112098,-0.1591692175,0,-0.11317611,1.248180705,40
-0.58112098,-0.1155359862,0,-0.11317611,1.248180705,40
-0.58112098,-0.0719027549,0,-0.11317611,1.248180705,40
-0.58112098,-0.0282695236,0,-0.11317611,1.248180705,40
-0.58112098,0,0,-0.11317611,1.248180705,40
-0.546214395,-0.9445673809,0,-0.148082695,1.21327412,40
-0.546214395,-0.9009341496,0,-0.148082695,1.21327412,40
-0.546214395,-0.8573009183,0,-0.148082695,1.21327412,40
-0.546214395,-0.813667687,0,-0.148082695,1.21327412,40
-0.546214395,-0.7700344557,0,-0.148082695,1.21327412,40
-0.546214395,-0.7264012244,0,-0.148082695,1.21327412,40
-0.546214395,-0.6827679931,0,-0.148082695,1.21327412,40
-0.546214395,-0.6391347618,0,-0.148082695,1.21327412,40
-0.546214395,-0.5955015305,0,-0.148082695,1.21327412,40
-0.546214395,-0.5518682992,0,-0.148082695,1.21327412,40
-0.546214395,-0.5082350679,0,-0.148082695,1.21327412,40
-0.546214395,-0.4646018366,0,-0.148082695,1.21327412,40
-0.546214395,-0.4209686053,0,-0.148082695,1.21327412,40
-0.546214395,-0.377335374,0,-0.148082695,1.21327412,40
-0.546214395,-0.3337021427,0,-0.148082695,1.21327412,40
-0.546214395,-0.2900689114,0,-0.148082695,1.21327412,40
-0.546214395,-0.2464356801,0,-0.148082695,1.21327412,40
-0.546214395,-0.2028024488,0,-0.148082695,1.21327412,40
-0.546214395,-0.1591692175,0,-0.148082695,1.21327412,40
-0.546214395,-0.1155359862,0,-0.148082695,1.21327412,40
-0.546214395,-0.0719027549,0,-0.148082695,1.21327412,40
-0.546214395,-0.0282695236,0,-0.148082695,1.21327412,40
-0.546214395,0,0,-0.148082695,1.21327412,40
-0.51130781,-0.9445673809,0,-0.18298928,1.178367535,40
-0.51130781,-0.9009341496,0,-0.18298928,1.178367535,40
-0.51130781,-0.8573009183,0,-0.18298928,1.178367535,40
-0.51130781,-0.813667687,0,-0.18298928,1.178367535,40
-0.51130781,-0.7700344557,0,-0.18298928,1.178367535,40
-0.51130781,-0.7264012244,0,-0.18298928,1.178367535,40
-0.51130781,-0.6827679931,0,-0.18298928,1.178367535,40
-0.51130781,-0.6391347618,0,-0.18298928,1.178367535,40
-0.51130781,-0.5955015305,0,-0.18298928,1.178367535,40
-0.51130781,-0.5518682992,0,-0.18298928,1.178367535,40
-0.51130781,-0.5082350679,0,-0.18298928,1.178367535,40
-0.51130781,-0.4646018366,0,-0.18298928,1.178367535,40
-0.51130781,-0.4209686053,0,-0.18298928,1.178367535,40
-0.51130781,-0.377335374,0,-0.18298928,1.178367535,40
-0.51130781,-0.3337021427,0,-0.18298928,1.178367535,40
-0.51130781,-0.2900689114,0,-0.18298928,1.178367535,40
-0.51130781,-0.2464356801,0,-0.18298928,1.178367535,40
-0.51130781,-0.2028024488,0,-0.18298928,1.178367535,40
-0.51130781,-0.1591692175,0,-0.18298928,1.178367535,40
-0.51130781,-0.1155359862,0,-0.18298928,1.178367535,40
-0.51130781,-0.0719027549,0,-0.18298928,1.178367535,40
-0.51130781,-0.0282695236,0,-0.18298928,1.178367535,40
-0.51130781,0,0,-0.18298928,1.178367535,40
-0.476401225,-0.9445673809,0,-0.217895865,1.14346095,40
-0.476401225,-0.9009341496,0,-0.217895865,1.14346095,40
-0.476401225,-0.8573009183,0,-0.217895865,1.14346095,40
-0.476401225,-0.813667687,0,-0.217895865,1.14346095,40
-0.476401225,-0.7700344557,0,-0.217895865,1.14346095,40
-0.476401225,-0.7264012244,0,-0.217895865,1.14346095,40
-0.476401225,-0.6827679931,0,-0.217895865,1.14346095,40
-0.476401225,-0.6391347618,0,-0.217895865,1.14346095,40
-0.476401225,-0.5955015305,0,-0.217895865,1.14346095,40
-0.476401225,-0.5518682992,0,-0.217895865,1.14346095,40
-0.476401225,-0.5082350679,0,-0.217895865,1.14346095,40
-0.476401225,-0.4646018366,0,-0.217895865,1.14346095,40
-0.476401225,-0.4209686053,0,-0.217895865,1.14346095,40
-0.476401225,-0.377335374,0,-0.217895865,1.14346095,40
-0.476401225,-0.3337021427,0,-0.217895865,1.14346095,40
-0.476401225,-0.2900689114,0,-0.217895865,1.14346095,40
-0.476401225,-0.2464356801,0,-0.217895865,1.14346095,40
-0.476401225,-0.2028024488,0,-0.217895865,1.14346095,40
-0.476401225,-0.1591692175,0,-0.217895865,1.14346095,40
-0.476401225,-0.1155359862,0,-0.217895865,1.14346095,40
-0.476401225,-0.0719027549,0,-0.217895865,1.14346095,40
-0.476401225,-0.0282695236,0,-0.217895865,1.14346095,40
-0.476401225,0,0,-0.217895865,1.14346095,40
-0.44149464,-0.9445673809,0,-0.25280245,1.108554365,40
-0.44149464,-0.9009341496,0,-0.25280245,1.108554365,40
-0.44149464,-0.8573009183,0,-0.25280245,1.108554365,40
-0.44149464,-0.813667687,0,-0.25280245,1.108554365,40
-0.44149464,-0.7700344557,0,-0.25280245,1.108554365,40
