q1_rad,q2_rad,q3_rad,lift_servo_deg,tilt_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.6509341496,0.0962634016,-0.7264012244,164.591559,26.43941424,78.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.6391347618,164.591559,26.43941424,88.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.5518682992,164.591559,26.43941424,98.38027522,1,1,safe,
-0.6509341496,0.0962634016,-0.4646018366,164.591559,26.43941424,108.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.377335374,164.591559,26.43941424,118.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.2900689114,164.591559,26.43941424,128.3802752,1,1,safe,
-0.6509341496,0.0962634016,-0.2028024488,164.591559,26.43941424,138.3802752,1,1,safe,
-0.6509341496,0.1835298642,-0.7264012244,164.591559,36.43941424,78.38027522,1,1,safe,
-0.6509341496,0.1835298642,-0.6391347618,164.591559,36.43941424,88.38027522,1,1,safe,
-0.6509341496,0.1835298642,-0.5518682992,164.591559,36.43941424,98.38027522,1,1,safe,
-0.6509341496,0.1835298642,-0.4646018366,164.591559,36.43941424,108.3802752,1,1,safe,
-0.6509341496,0.1835298642,-0.377335374,164.591559,36.43941424,118.3802752,1,1,safe,
-0.6509341496,0.1835298642,-0.2900689114,164.591559,36.43941424,128.3802752,1,1,safe,
-0.6509341496,0.1835298642,-0.2028024488,164.591559,36.43941424,138.3802752,1,1,safe,
-0.6509341496,0.2707963268,-0.7264012244,164.591559,46.43941424,78.38027522,1,1,safe,
-0.6509341496,0.2707963268,-0.6391347618,164.591559,46.43941424,88.38027522,1,1,safe,
-0.6509341496,0.2707963268,-0.5518682992,164.591559,46.43941424,98.38027522,1,1,safe,
-0.6509341496,0.2707963268,-0.4646018366,164.591559,46.43941424,108.3802752,1,1,safe,
-0.6509341496,0.2707963268,-0.377335374,164.591559,46.43941424,118.3802752,1,1,safe,
-0.6509341496,0.2707963268,-0.2900689114,164.591559,46.43941424,128.3802752,1,1,safe,
-0.6509341496,0.2707963268,-0.2028024488,164.591559,46.43941424,138.3802752,1,1,safe,
-0.6509341496,0.3580627894,-0.7264012244,164.591559,56.43941424,78.38027522,1,1,safe,
-0.6509341496,0.3580627894,-0.6391347618,164.591559,56.43941424,88.38027522,1,1,safe,
-0.6509341496,0.3580627894,-0.5518682992,164.591559,56.43941424,98.38027522,1,1,safe,
-0.6509341496,0.3580627894,-0.4646018366,164.591559,56.43941424,108.3802752,1,1,safe,
-0.6509341496,0.3580627894,-0.377335374,164.591559,56.43941424,118.3802752,1,1,safe,
-0.6509341496,0.3580627894,-0.2900689114,164.591559,56.43941424,128.3802752,1,1,safe,
-0.6509341496,0.3580627894,-0.2028024488,164.591559,56.43941424,138.3802752,1,1,safe,
-0.6509341496,0.445329252,-0.7264012244,164.591559,66.43941424,78.38027522,1,1,safe,
-0.6509341496,0.445329252,-0.6391347618,164.591559,66.43941424,88.38027522,1,1,safe,
-0.6509341496,0.445329252,-0.5518682992,164.591559,66.43941424,98.38027522,1,1,safe,
-0.6509341496,0.445329252,-0.4646018366,164.591559,66.43941424,108.3802752,1,1,safe,
-0.6509341496,0.445329252,-0.377335374,164.591559,66.43941424,118.3802752,1,1,safe,
-0.6509341496,0.445329252,-0.2900689114,164.591559,66.43941424,128.3802752,1,1,safe,
-0.6509341496,0.445329252,-0.2028024488,164.591559,66.43941424,138.3802752,1,1,safe,
