q1_rad,q3_rad,segment,q2_min_rad,q2_max_rad,sample_count
-0.6509341496,-0.7264012244,0,0.0962634016,0.881661565,10
-0.6509341496,-0.6391347618,0,0.0962634016,0.881661565,10
-0.6509341496,-0.5518682992,0,0.0962634016,0.881661565,10
-0.6509341496,-0.4646018366,0,0.0962634016,0.881661565,10
-0.6509341496,-0.377335374,0,0.0962634016,0.881661565,10
-0.6509341496,-0.2900689114,0,0.0962634016,0.881661565,10
-0.6509341496,-0.2028024488,0,0.0962634016,0.881661565,10
-0.563667687,-0.7264012244,0,0.008996939,0.881661565,11
-0.563667687,-0.6391347618,0,0.008996939,0.881661565,11
-0.563667687,-0.5518682992,0,0.008996939,0.881661565,11
-0.563667687,-0.4646018366,0,0.008996939,0.881661565,11
-0.563667687,-0.377335374,0,-0.0782695236,0.881661565,12
-0.563667687,-0.2900689114,0,-0.0782695236,0.881661565,12
-0.563667687,-0.2028024488,0,-0.0782695236,0.881661565,12
-0.4764012244,-0.7264012244,0,-0.0782695236,0.7943951024,11
-0.4764012244,-0.6391347618,0,-0.1655359862,0.7943951024,12
-0.4764012244,-0.5518682992,0,-0.1655359862,0.7943951024,12
-0.4764012244,-0.4646018366,0,-0.1655359862,0.7943951024,12
-0.4764012244,-0.377335374,0,-0.1655359862,0.7943951024,12
-0.4764012244,-0.2900689114,0,-0.1655359862,0.7943951024,12
-0.4764012244,-0.2028024488,0,-0.1655359862,0.7943951024,12
-0.3891347618,-0.7264012244,0,-0.2528024488,0.7943951024,13
-0.3891347618,-0.6391347618,0,-0.2528024488,0.7943951024,13
-0.3891347618,-0.5518682992,0,-0.2528024488,0.7943951024,13
-0.3891347618,-0.4646018366,0,-0.2528024488,0.7943951024,13
-0.3891347618,-0.377335374,0,-0.2528024488,0.7943951024,13
-0.3891347618,-0.2900689114,0,-0.2528024488,0.7943951024,13
-0.3891347618,-0.2028024488,0,-0.2528024488,0.7943951024,13
-0.3018682992,-0.7264012244,0,-0.3400689114,0.7943951024,14
-0.3018682992,-0.6391347618,0,-0.3400689114,0.7943951024,14
-0.3018682992,-0.5518682992,0,-0.3400689114,0.7943951024,14
-0.3018682992,-0.4646018366,0,-0.3400689114,0.7943951024,14
-0.3018682992,-0.377335374,0,-0.3400689114,0.7943951024,14
-0.3018682992,-0.2900689114,0,-0.3400689114,0.7943951024,14
-0.3018682992,-0.2028024488,0,-0.3400689114,0.7943951024,14
-0.2146018366,-0.7264012244,0,-0.427335374,0.7071286398,14
-0.2146018366,-0.6391347618,0,-0.427335374,0.7071286398,14
-0.2146018366,-0.5518682992,0,-0.427335374,0.7071286398,14
-0.2146018366,-0.4646018366,0,-0.427335374,0.7071286398,14
-0.2146018366,-0.377335374,0,-0.427335374,0.7071286398,14
-0.2146018366,-0.2900689114,0,-0.427335374,0.7071286398,14
-0.2146018366,-0.2028024488,0,-0.427335374,0.7071286398,14
-0.127335374,-0.7264012244,0,-0.5146018366,0.7071286398,15
-0.127335374,-0.6391347618,0,-0.5146018366,0.7071286398,15
-0.127335374,-0.5518682992,0,-0.5146018366,0.7071286398,15
-0.127335374,-0.4646018366,0,-0.5146018366,0.7071286398,15
-0.127335374,-0.377335374,0,-0.5146018366,0.7071286398,15
-0.127335374,-0.2900689114,0,-0.5146018366,0.7071286398,15
-0.127335374,-0.2028024488,0,-0.5146018366,0.7071286398,15
-0.0400689114,-0.7264012244,0,-0.6018682992,0.6198621772,15
-0.0400689114,-0.6391347618,0,-0.6018682992,0.6198621772,15
-0.0400689114,-0.5518682992,0,-0.6018682992,0.6198621772,15
-0.0400689114,-0.4646018366,0,-0.6018682992,0.6198621772,15
-0.0400689114,-0.377335374,0,-0.6018682992,0.6198621772,15
-0.0400689114,-0.2900689114,0,-0.6018682992,0.6198621772,15
-0.0400689114,-0.2028024488,0,-0.6018682992,0.6198621772,15
0.0471975512,-0.7264012244,0,-0.6891347618,0.5325957146,15
0.0471975512,-0.6391347618,0,-0.6891347618,0.5325957146,15
0.0471975512,-0.5518682992,0,-0.6891347618,0.5325957146,15
0.0471975512,-0.4646018366,0,-0.6891347618,0.5325957146,15
0.0471975512,-0.377335374,0,-0.6891347618,0.5325957146,15
0.0471975512,-0.2900689114,0,-0.6891347618,0.5325957146,15
0.0471975512,-0.2028024488,0,-0.6891347618,0.5325957146,15
0.1344640138,-0.7264012244,0,-0.7764012244,0.445329252,15
0.1344640138,-0.6391347618,0,-0.7764012244,0.445329252,15
0.1344640138,-0.5518682992,0,-0.7764012244,0.445329252,15
0.1344640138,-0.4646018366,0,-0.7764012244,0.445329252,15
0.1344640138,-0.377335374,0,-0.7764012244,0.445329252,15
0.1344640138,-0.2900689114,0,-0.7764012244,0.445329252,15
0.1344640138,-0.2028024488,0,-0.7764012244,0.445329252,15
0.2217304764,-0.7264012244,0,-0.7764012244,0.2707963268,13
0.2217304764,-0.6391347618,0,-0.7764012244,0.2707963268,13
0.2217304764,-0.5518682992,0,-0.7764012244,0.2707963268,13
0.2217304764,-0.4646018366,0,-0.7764012244,0.2707963268,13
0.2217304764,-0.377335374,0,-0.7764012244,0.2707963268,13
0.2217304764,-0.2900689114,0,-0.7764012244,0.2707963268,13
0.2217304764,-0.2028024488,0,-0.7764012244,0.2707963268,13
