q1_rad,q2_rad,q3_rad,shoulder_servo_deg,wrist_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.7382006122,0.008996939,0,5.408440974,88.96902673,0,1,1,safe,
-0.7382006122,0.008996939,0.0872664626,5.408440974,88.96902673,10,1,1,safe,
-0.7382006122,0.0962634016,0,5.408440974,78.96902673,0,1,1,safe,
-0.7382006122,0.0962634016,0.0872664626,5.408440974,78.96902673,10,1,1,safe,
-0.7382006122,0.0962634016,0.1745329252,5.408440974,78.96902673,20,1,1,safe,
-0.7382006122,0.0962634016,0.2617993878,5.408440974,78.96902673,30,1,1,safe,
-0.7382006122,0.0962634016,0.3490658504,5.408440974,78.96902673,40,1,1,safe,
-0.7382006122,0.0962634016,0.436332313,5.408440974,78.96902673,50,1,1,safe,
-0.7382006122,0.0962634016,0.5235987756,5.408440974,78.96902673,60,1,1,safe,
-0.7382006122,0.0962634016,0.6108652382,5.408440974,78.96902673,70,1,1,safe,
-0.7382006122,0.0962634016,0.6981317008,5.408440974,78.96902673,80,1,1,safe,
-0.7382006122,0.0962634016,0.7853981634,5.408440974,78.96902673,90,1,1,safe,
-0.7382006122,0.0962634016,0.872664626,5.408440974,78.96902673,100,1,1,safe,
-0.7382006122,0.0962634016,0.9599310886,5.408440974,78.96902673,110,1,1,safe,
-0.7382006122,0.0962634016,1.047197551,5.408440974,78.96902673,120,1,1,safe,
-0.7382006122,0.0962634016,1.134464014,5.408440974,78.96902673,130,1,1,safe,
-0.7382006122,0.0962634016,1.221730476,5.408440974,78.96902673,140,1,1,safe,
-0.7382006122,0.0962634016,1.308996939,5.408440974,78.96902673,150,1,1,safe,
-0.7382006122,0.0962634016,1.396263402,5.408440974,78.96902673,160,1,1,safe,
-0.7382006122,0.0962634016,1.483529864,5.408440974,78.96902673,170,1,1,safe,
-0.7382006122,0.1835298642,0,5.408440974,68.96902673,0,1,1,safe,
-0.7382006122,0.1835298642,0.0872664626,5.408440974,68.96902673,10,1,1,safe,
-0.7382006122,0.1835298642,0.1745329252,5.408440974,68.96902673,20,1,1,safe,
-0.7382006122,0.1835298642,0.2617993878,5.408440974,68.96902673,30,1,1,safe,
-0.7382006122,0.1835298642,0.3490658504,5.408440974,68.96902673,40,1,1,safe,
-0.7382006122,0.1835298642,0.436332313,5.408440974,68.96902673,50,1,1,safe,
-0.7382006122,0.1835298642,0.5235987756,5.408440974,68.96902673,60,1,1,safe,
-0.7382006122,0.1835298642,0.6108652382,5.408440974,68.96902673,70,1,1,safe,
-0.7382006122,0.1835298642,0.6981317008,5.408440974,68.96902673,80,1,1,safe,
-0.7382006122,0.1835298642,0.7853981634,5.408440974,68.96902673,90,1,1,safe,
-0.7382006122,0.1835298642,0.872664626,5.408440974,68.96902673,100,1,1,safe,
-0.7382006122,0.1835298642,0.9599310886,5.408440974,68.96902673,110,1,1,safe,
-0.7382006122,0.1835298642,1.047197551,5.408440974,68.96902673,120,1,1,safe,
-0.7382006122,0.1835298642,1.134464014,5.408440974,68.96902673,130,1,1,safe,
-0.7382006122,0.1835298642,1.221730476,5.408440974,68.96902673,140,1,1,safe,
-0.7382006122,0.1835298642,1.308996939,5.408440974,68.96902673,150,1,1,safe,
-0.7382006122,0.1835298642,1.396263402,5.408440974,68.96902673,160,1,1,safe,
-0.7382006122,0.1835298642,1.483529864,5.408440974,68.96902673,170,1,1,safe,
-0.7382006122,0.2707963268,0,5.408440974,58.96902673,0,1,1,safe,
-0.7382006122,0.2707963268,0.0872664626,5.408440974,58.96902673,10,1,1,safe,
-0.7382006122,0.2707963268,0.1745329252,5.408440974,58.96902673,20,1,1,safe,
